id_resposta;data_resposta;codigo_loja;loja;turno;canal_atendimento;genero;faixa_etaria;idade_declarada;frequencia_visita;itens_consumidos;valor_consumo;tempo_espera_min;tempo_permanencia_min;temperatura_bebida_C;temperatura_ambiente_C;nota_atendimento;nota_produto;nota_ambiente;nota_preco;nps;recomendaria;indice_satisfacao
PQ-2025-0011;28/05/2025;4;Recife Antigo;Tarde;Balcão;Feminino;25 a 34;30;Primeira vez;4;18,65;10,0;38;78,0;21,8;4;4;4;3;6;Sim;65,833333
PQ-2025-0012;07/01/2025;1;Boa Viagem;Noite;Balcão;Feminino;60 ou mais;60;Mensal;5;28,27;3,0;44;58,7;24,8;3;4;4;3;7;Sim;65,000000
PQ-2025-0013;27/06/2025;4;Recife Antigo;Tarde;Balcão;Masculino;35 a 44;43;Semanal;4;11,92;10,0;47;57,0;21,9;5;5;5;4;10;Sim;95,833333
PQ-2025-0014;31/01/2025;2;Casa Forte;Noite;Delivery;Feminino;45 a 59;45;Mensal;2;13,28;3,5;28;72,9;23,8;4;5;4;4;9;Sim;84,166667
PQ-2025-0015;07/02/2025;2;Casa Forte;Tarde;Balcão;Outro;45 a 59;46;Primeira vez;2;12,08;3,6;30;71,4;23,9;4;4;4;3;6;Não;65,833333
PQ-2025-0016;24/02/2025;2;Casa Forte;Manhã;Balcão;Masculino;45 a 59;50;Primeira vez;2;6,35;4,4;28;66,2;22,6;5;4;3;4;7;Sim;73,333333
PQ-2025-0017;12/02/2025;3;Espinheiro;Noite;App;Feminino;25 a 34;25;Semanal;3;18,03;5,0;46;77,0;24,6;5;5;4;5;7;Sim;85,833333
PQ-2025-0018;23/05/2025;3;Espinheiro;Tarde;Balcão;Feminino;45 a 59;45;Diária;6;22,61;5,0;26;82,0;21,4;5;5;5;4;10;Sim;95,833333
PQ-2025-0019;30/01/2025;2;Casa Forte;Manhã;App;Masculino;35 a 44;40;Semanal;4;24,47;8,0;38;64,3;23,7;4;5;4;5;7;Sim;81,666667
PQ-2025-0020;24/05/2025;1;Boa Viagem;Tarde;App;Feminino;35 a 44;40;Primeira vez;1;26,49;14,5;20;61,4;25,5;3;4;4;2;5;Não;54,166667
PQ-2025-0021;06/02/2025;3;Espinheiro;Manhã;Balcão;Feminino;35 a 44;40;Mensal;5;14,52;10,0;12;68,0;23,0;4;4;4;3;7;Sim;69,166667
PQ-2025-0022;21/02/2025;4;Recife Antigo;Tarde;Balcão;Masculino;35 a 44;40;Semanal;4;14,88;5,0;31;71,0;23,5;5;4;5;3;7;Sim;77,500000
PQ-2025-0023;22/03/2025;4;Recife Antigo;Manhã;Balcão;Masculino;45 a 59;48;Semanal;3;23,20;10,0;48;;24,3;3;5;5;3;8;Sim;76,666667
PQ-2025-0024;02/03/2025;2;Casa Forte;Manhã;Balcão;Feminino;35 a 44;40;Quinzenal;3;23,53;6,9;25;72,5;21,5;5;4;4;4;9;Sim;84,166667
PQ-2025-0025;24/05/2025;1;Boa Viagem;Tarde;Balcão;Feminino;35 a 44;40;Quinzenal;2;23,45;28,4;29;68,4;25,1;2;4;4;4;8;Sim;68,333333
PQ-2025-0026;31/05/2025;2;Casa Forte;Manhã;App;Feminino;35 a 44;35;Quinzenal;1;28,61;4,8;53;67,7;26,8;5;4;4;3;8;Sim;76,666667
PQ-2025-0027;15/05/2025;4;Recife Antigo;Noite;Balcão;Masculino;35 a 44;40;Mensal;1;12,81;10,0;54;72,0;23,4;5;5;5;4;10;Sim;95,833333
PQ-2025-0028;19/05/2025;1;Boa Viagem;Manhã;Balcão;Feminino;45 a 59;50;Quinzenal;2;26,66;16,1;36;71,3;22,5;3;3;3;1;5;Não;41,666667
PQ-2025-0029;03/03/2025;3;Espinheiro;Manhã;Balcão;Feminino;18 a 24;20;Quinzenal;2;20,69;5,0;36;68,0;21,3;5;5;4;3;7;Sim;77,500000
PQ-2025-0030;14/03/2025;4;Recife Antigo;Tarde;App;Masculino;25 a 34;30;Mensal;4;29,20;10,0;41;74,0;25,4;3;5;4;3;7;Sim;69,166667
PQ-2025-0031;21/01/2025;2;Casa Forte;Noite;App;Feminino;18 a 24;19;Semanal;4;15,30;3,9;46;71,3;22,5;4;3;4;4;9;Sim;75,833333
PQ-2025-0032;08/03/2025;3;Espinheiro;Noite;App;Prefiro não informar;35 a 44;40;Primeira vez;3;17,13;5,0;24;72,0;24,3;5;4;4;5;10;Sim;91,666667
PQ-2025-0033;03/05/2025;1;Boa Viagem;Tarde;Balcão;Feminino;25 a 34;30;Semanal;1;23,86;15,8;37;69,0;22,4;3;5;3;3;9;Sim;71,666667
PQ-2025-0034;30/03/2025;4;Recife Antigo;Manhã;Balcão;Feminino;25 a 34;27;Quinzenal;2;26,56;5,0;49;72,0;24,8;4;5;4;4;8;Sim;80,833333
PQ-2025-0035;25/04/2025;2;Casa Forte;Noite;Delivery;Masculino;25 a 34;30;Mensal;2;35,73;3,0;48;71,2;22,2;5;5;4;3;9;Sim;84,166667
PQ-2025-0036;02/02/2025;4;Recife Antigo;Noite;App;Masculino;35 a 44;40;Mensal;7;21,19;5,0;31;68,0;22,3;4;4;4;4;6;Sim;70,000000
PQ-2025-0037;16/02/2025;2;Casa Forte;Manhã;Balcão;Feminino;25 a 34;25;Mensal;3;21,08;5,0;44;65,8;24,8;5;4;3;3;7;Sim;69,166667
PQ-2025-0038;28/01/2025;2;Casa Forte;Tarde;Balcão;Masculino;18 a 24;20;Quinzenal;2;27,90;6,2;38;73,6;23,7;4;5;5;4;8;Sim;85,000000
PQ-2025-0039;12/04/2025;4;Recife Antigo;Tarde;Balcão;Feminino;45 a 59;45;Diária;6;10,52;15,0;63;68,0;24,3;5;4;3;3;7;Sim;69,166667
PQ-2025-0040;03/03/2025;2;Casa Forte;Manhã;Balcão;Masculino;25 a 34;30;Mensal;2;23,98;3,7;34;69,1;22,0;5;5;4;;10;Sim;91,666667
PQ-2025-0041;30/01/2025;2;Casa Forte;Tarde;Balcão;Masculino;25 a 34;30;Semanal;2;16,95;17,2;63;65,5;22,5;4;3;4;4;7;Sim;69,166667
PQ-2025-0042;19/01/2025;3;Espinheiro;Tarde;Balcão;Feminino;18 a 24;20;Diária;3;15,56;5,0;5;64,0;21,1;4;4;5;4;6;Não;74,166667
PQ-2025-0043;12/01/2025;3;Espinheiro;Noite;Balcão;Masculino;25 a 34;25;Mensal;3;26,52;5,0;17;71,0;21,6;4;5;3;4;8;Sim;76,666667
PQ-2025-0044;13/05/2025;4;Recife Antigo;Manhã;App;Masculino;45 a 59;50;Semanal;2;32,72;5,0;55;73,0;24,4;5;3;3;2;5;Não;54,166667
PQ-2025-0045;23/02/2025;1;Boa Viagem;Tarde;Balcão;Feminino;35 a 44;37;Mensal;3;7,60;21,3;56;70,1;25,2;3;5;4;3;8;Sim;72,500000
PQ-2025-0046;27/05/2025;4;Recife Antigo;Tarde;Balcão;Feminino;25 a 34;;Semanal;1;16,77;10,0;43;71,0;23,9;4;5;5;;10;Sim;91,666667
PQ-2025-0047;02/04/2025;1;Boa Viagem;Manhã;Balcão;Feminino;18 a 24;20;Diária;2;29,83;8,8;49;72,9;21,6;4;4;2;3;6;Não;57,500000
PQ-2025-0048;04/05/2025;3;Espinheiro;Noite;Balcão;Feminino;35 a 44;35;Mensal;2;10,51;5,0;25;76,0;22,9;4;5;5;4;9;Sim;88,333333
PQ-2025-0049;27/06/2025;3;Espinheiro;Manhã;Balcão;Prefiro não informar;45 a 59;50;Primeira vez;2;15,05;10,0;5;68,0;23,0;3;3;4;4;8;Sim;68,333333
PQ-2025-0050;01/03/2025;4;Recife Antigo;Manhã;Balcão;Feminino;35 a 44;35;Primeira vez;2;14,10;5,0;86;60,0;25,4;5;4;5;5;10;Sim;95,833333
PQ-2025-0051;29/03/2025;4;Recife Antigo;Manhã;Balcão;Masculino;18 a 24;20;Semanal;4;21,91;5,0;56;69,0;28,8;3;3;2;3;2;Não;35,833333
PQ-2025-0052;20/02/2025;3;Espinheiro;Noite;Delivery;Masculino;25 a 34;25;Quinzenal;2;13,40;10,0;24;74,0;23,5;4;4;5;4;7;Sim;77,500000
PQ-2025-0053;24/06/2025;3;Espinheiro;Manhã;Balcão;Masculino;35 a 44;40;Mensal;4;16,79;10,0;22;70,0;25,6;3;5;5;3;7;Sim;73,333333
PQ-2025-0054;21/02/2025;1;Boa Viagem;Tarde;Balcão;Masculino;25 a 34;30;Mensal;2;32,03;9,8;37;64,2;23,8;3;4;5;3;9;Sim;75,833333
PQ-2025-0055;06/03/2025;2;Casa Forte;Tarde;App;Masculino;35 a 44;40;Mensal;3;12,41;3,0;25;74,0;23,2;5;4;4;5;9;Sim;88,333333
PQ-2025-0056;10/04/2025;1;Boa Viagem;Tarde;Balcão;Feminino;45 a 59;52;Primeira vez;2;26,09;4,2;44;63,7;23,6;5;4;4;3;7;Sim;73,333333
PQ-2025-0057;30/01/2025;2;Casa Forte;Tarde;App;Masculino;35 a 44;42;Diária;3;21,66;8,2;31;65,7;23,7;5;4;3;2;6;Não;61,666667
PQ-2025-0058;21/04/2025;3;Espinheiro;Tarde;Delivery;Masculino;25 a 34;30;Semanal;5;15,95;5,0;18;64,0;23,1;4;4;5;4;7;Sim;77,500000
PQ-2025-0059;19/02/2025;4;Recife Antigo;Noite;Balcão;Feminino;35 a 44;41;Primeira vez;2;11,85;15,0;70;66,0;23,0;2;4;5;4;7;Sim;69,166667
PQ-2025-0060;26/02/2025;3;Espinheiro;Manhã;Balcão;Masculino;35 a 44;40;Quinzenal;3;18,75;5,0;42;75,0;24,5;3;4;4;4;8;Sim;72,500000
PQ-2025-0061;14/02/2025;1;Boa Viagem;Manhã;Balcão;Feminino;25 a 34;30;Quinzenal;3;15,26;13,7;53;64,6;22,6;3;5;5;4;10;Sim;87,500000
PQ-2025-0062;05/03/2025;1;Boa Viagem;Manhã;Balcão;Masculino;35 a 44;41;Mensal;3;18,67;12,5;39;67,1;23,2;3;5;4;4;5;Não;66,666667
PQ-2025-0063;24/01/2025;3;Espinheiro;Tarde;Balcão;Masculino;18 a 24;20;Quinzenal;2;14,05;10,0;9;71,0;22,1;4;5;4;3;7;Sim;73,333333
PQ-2025-0064;15/06/2025;2;Casa Forte;Manhã;Balcão;Feminino;35 a 44;40;Semanal;2;22,51;4,0;43;76,0;22,6;5;4;3;4;8;Sim;76,666667
PQ-2025-0065;31/03/2025;3;Espinheiro;Tarde;Balcão;Masculino;25 a 34;30;Semanal;3;19,34;5,0;26;68,0;25,8;4;5;4;4;9;Sim;84,166667
PQ-2025-0066;27/02/2025;2;Casa Forte;Manhã;Balcão;Masculino;25 a 34;30;Mensal;1;16,30;3,9;64;68,0;23,2;5;4;4;4;7;Sim;77,500000
PQ-2025-0067;19/01/2025;1;Boa Viagem;Tarde;Delivery;Feminino;35 a 44;40;Mensal;5;23,10;7,0;37;63,7;22,6;4;3;4;3;;Não;61,666667
PQ-2025-0068;26/03/2025;1;Boa Viagem;Noite;Delivery;Feminino;45 a 59;45;Diária;1;37,24;21,7;36;67,5;23,5;4;4;4;3;6;Sim;65,833333
PQ-2025-0069;28/02/2025;1;Boa Viagem;Tarde;Balcão;Outro;35 a 44;40;Mensal;2;24,00;9,2;45;67,9;22,8;4;3;3;4;9;Sim;71,666667
PQ-2025-0070;17/01/2025;4;Recife Antigo;Noite;Balcão;Feminino;45 a 59;53;Semanal;4;19,73;5,0;55;75,0;23,6;5;5;4;4;9;Sim;88,333333
PQ-2025-0071;17/03/2025;3;Espinheiro;Noite;Balcão;Prefiro não informar;25 a 34;30;Diária;2;10,34;10,0;34;68,0;24,5;3;5;5;5;9;Sim;88,333333
PQ-2025-0072;03/04/2025;1;Boa Viagem;Tarde;Balcão;Feminino;45 a 59;50;Diária;3;38,31;7,3;35;77,9;25,4;4;5;5;2;8;Sim;76,666667
PQ-2025-0073;06/04/2025;4;Recife Antigo;Noite;Balcão;Feminino;25 a 34;;Mensal;4;15,85;5,0;26;69,0;23,1;4;5;5;2;5;Não;66,666667
PQ-2025-0074;01/03/2025;1;Boa Viagem;Noite;Balcão;Prefiro não informar;35 a 44;40;Quinzenal;5;25,01;8,3;29;76,9;24,3;2;4;5;2;4;Não;50,833333
PQ-2025-0075;01/02/2025;2;Casa Forte;Noite;Delivery;Feminino;18 a 24;20;Semanal;4;19,92;13,6;44;67,9;29,0;4;5;5;4;10;Sim;91,666667
PQ-2025-0076;06/05/2025;1;Boa Viagem;Manhã;Balcão;Masculino;45 a 59;50;Diária;2;28,91;4,4;36;68,7;23,4;4;4;5;4;10;Sim;87,500000
PQ-2025-0077;04/02/2025;3;Espinheiro;Tarde;Balcão;Masculino;45 a 59;;Semanal;2;16,60;5,0;18;71,0;24,8;4;4;5;4;7;Sim;77,500000
PQ-2025-0078;13/02/2025;1;Boa Viagem;Noite;Delivery;Masculino;35 a 44;40;Quinzenal;4;32,81;8,5;8;72,0;21,9;3;3;4;4;6;Sim;61,666667
PQ-2025-0079;26/06/2025;4;Recife Antigo;Manhã;Delivery;Feminino;25 a 34;;Primeira vez;2;14,84;15,0;31;74,0;25,7;5;4;4;3;9;Sim;80,000000
PQ-2025-0080;20/02/2025;3;Espinheiro;Manhã;App;Feminino;45 a 59;50;Mensal;5;23,08;10,0;25;75,0;21,8;4;5;4;5;9;Sim;88,333333
PQ-2025-0081;23/04/2025;3;Espinheiro;Tarde;Balcão;Masculino;18 a 24;21;Diária;4;17,34;5,0;45;62,0;22,8;4;5;4;4;6;Não;74,166667
PQ-2025-0082;25/04/2025;1;Boa Viagem;Tarde;Balcão;Masculino;25 a 34;30;Primeira vez;3;32,89;15,8;31;64,3;25,2;4;4;4;3;8;Sim;72,500000
PQ-2025-0083;06/03/2025;3;Espinheiro;Tarde;App;Feminino;25 a 34;30;Primeira vez;3;22,08;5,0;18;64,0;24,4;4;4;3;4;8;Sim;72,500000
PQ-2025-0084;27/01/2025;2;Casa Forte;Tarde;Delivery;Masculino;25 a 34;30;Mensal;3;27,67;11,5;33;69,5;21,6;4;4;4;3;7;Sim;69,166667
PQ-2025-0085;07/05/2025;3;Espinheiro;Manhã;Balcão;Masculino;18 a 24;20;Diária;3;18,16;10,0;39;66,0;23,7;5;4;5;4;10;Sim;91,666667
PQ-2025-0086;20/05/2025;4;Recife Antigo;Manhã;Balcão;Masculino;35 a 44;40;Quinzenal;2;24,51;5,0;43;67,0;25,6;5;5;5;4;8;Sim;89,166667
PQ-2025-0087;31/03/2025;2;Casa Forte;Manhã;Balcão;Feminino;25 a 34;28;Quinzenal;3;23,14;9,1;46;68,3;23,4;3;4;5;3;9;Sim;75,833333
PQ-2025-0088;07/06/2025;3;Espinheiro;Manhã;App;Masculino;25 a 34;25;Semanal;3;20,01;5,0;12;73,0;21,3;2;4;5;4;10;Sim;79,166667
PQ-2025-0089;20/05/2025;2;Casa Forte;Noite;Balcão;Masculino;35 a 44;40;Mensal;2;25,73;2,6;35;64,3;23,1;5;4;5;4;10;Sim;91,666667
PQ-2025-0090;21/01/2025;2;Casa Forte;Tarde;Delivery;Feminino;60 ou mais;;Mensal;2;31,00;10,3;52;72,7;22,1;3;4;5;4;10;Sim;83,333333
PQ-2025-0091;17/01/2025;2;Casa Forte;Tarde;Balcão;Feminino;25 a 34;30;Semanal;2;22,52;7,9;84;;23,0;5;4;3;4;6;Não;70,000000
PQ-2025-0092;19/06/2025;3;Espinheiro;Noite;Balcão;Masculino;18 a 24;20;Mensal;2;16,88;10,0;13;77,0;23,7;2;3;5;5;7;Sim;69,166667
PQ-2025-0093;16/03/2025;3;Espinheiro;Tarde;Balcão;Feminino;25 a 34;30;Primeira vez;3;28,22;5,0;26;64,0;23,2;5;3;4;3;8;Sim;72,500000
PQ-2025-0094;11/01/2025;4;Recife Antigo;Tarde;Balcão;Outro;25 a 34;30;Primeira vez;4;14,22;5,0;70;71,0;23,5;4;5;5;2;9;Sim;80,000000
PQ-2025-0095;03/02/2025;4;Recife Antigo;Tarde;Balcão;Feminino;18 a 24;20;Semanal;3;19,21;10,0;14;57,0;22,7;3;2;4;3;5;Não;50,000000
PQ-2025-0096;22/04/2025;3;Espinheiro;Noite;Balcão;Masculino;18 a 24;20;Mensal;2;16,43;5,0;39;69,0;26,2;4;5;5;5;10;Sim;95,833333
PQ-2025-0097;06/01/2025;1;Boa Viagem;Tarde;Balcão;Outro;35 a 44;35;Quinzenal;2;30,95;5,1;21;72,8;25,5;4;4;4;4;8;Sim;76,666667
PQ-2025-0098;22/05/2025;1;Boa Viagem;Tarde;Balcão;Masculino;35 a 44;35;Primeira vez;2;28,03;16,3;31;67,3;20,6;3;4;4;4;6;Não;65,833333
PQ-2025-0099;08/01/2025;4;Recife Antigo;Tarde;Delivery;Masculino;35 a 44;40;Quinzenal;1;22,90;15,0;50;69,0;23,7;3;4;4;4;6;Sim;65,833333
PQ-2025-0100;26/03/2025;4;Recife Antigo;Manhã;Balcão;Feminino;35 a 44;40;Diária;4;27,40;5,0;57;73,0;21,3;4;4;5;3;10;Sim;83,333333
PQ-2025-0101;24/05/2025;2;Casa Forte;Noite;Balcão;Outro;25 a 34;31;Semanal;3;27,69;13,7;48;66,9;23,1;3;4;5;;10;Sim;87,500000
PQ-2025-0102;17/05/2025;4;Recife Antigo;Manhã;Delivery;Feminino;60 ou mais;60;Primeira vez;3;17,23;5,0;66;68,0;22,9;4;5;4;2;4;Não;59,166667
PQ-2025-0103;18/02/2025;1;Boa Viagem;Manhã;Balcão;Outro;45 a 59;45;Mensal;3;27,10;22,6;34;77,8;22,7;1;5;4;3;;Sim;57,500000
PQ-2025-0104;19/05/2025;1;Boa Viagem;Manhã;Delivery;Feminino;35 a 44;39;Quinzenal;1;17,45;12,3;13;63,3;24,5;4;5;4;4;7;Sim;77,500000
PQ-2025-0105;24/03/2025;4;Recife Antigo;Manhã;App;Prefiro não informar;25 a 34;30;Mensal;3;15,67;10,0;60;70,0;25,5;5;4;3;2;8;Sim;68,333333
PQ-2025-0106;26/03/2025;4;Recife Antigo;Noite;Balcão;Feminino;25 a 34;30;Mensal;2;24,20;5,0;17;70,0;22,4;5;4;4;5;10;Sim;91,666667
PQ-2025-0107;09/03/2025;3;Espinheiro;Tarde;App;Masculino;35 a 44;36;Semanal;3;22,27;5,0;19;59,0;24,6;4;4;4;3;6;Não;65,833333
PQ-2025-0108;06/06/2025;1;Boa Viagem;Tarde;Balcão;Outro;25 a 34;30;Mensal;2;36,96;8,0;25;68,7;21,0;3;4;5;4;7;Sim;73,333333
PQ-2025-0109;22/05/2025;4;Recife Antigo;Noite;Balcão;Masculino;35 a 44;40;Mensal;2;25,83;10,0;59;66,0;25,0;4;4;5;3;7;Sim;73,333333
PQ-2025-0110;30/03/2025;1;Boa Viagem;Noite;App;Feminino;45 a 59;50;Mensal;3;22,61;12,4;22;64,0;24,8;4;4;4;2;8;Sim;68,333333
PQ-2025-0111;22/05/2025;3;Espinheiro;Manhã;App;Masculino;18 a 24;21;Primeira vez;1;12,25;5,0;23;63,0;19,7;4;5;2;4;8;Sim;72,500000
PQ-2025-0112;19/02/2025;1;Boa Viagem;Noite;Delivery;Masculino;35 a 44;35;Mensal;2;26,97;7,6;9;69,6;22,9;5;4;2;;6;Não;57,500000
PQ-2025-0113;07/02/2025;3;Espinheiro;Noite;Balcão;Feminino;25 a 34;31;Primeira vez;5;21,80;5,0;39;79,0;21,9;3;5;3;4;8;Sim;72,500000
PQ-2025-0114;08/05/2025;2;Casa Forte;Manhã;Balcão;Masculino;35 a 44;35;Primeira vez;1;10,21;8,6;49;69,3;24,1;5;4;4;2;7;Sim;69,166667
PQ-2025-0115;28/01/2025;1;Boa Viagem;Tarde;Balcão;Masculino;45 a 59;50;Semanal;2;28,81;7,8;57;68,3;22,4;3;5;5;2;7;Sim;69,166667
PQ-2025-0116;11/01/2025;4;Recife Antigo;Manhã;Balcão;Masculino;45 a 59;50;Primeira vez;1;22,78;5,0;20;67,0;23,2;5;4;5;;9;Sim;84,166667
PQ-2025-0117;09/02/2025;4;Recife Antigo;Noite;Balcão;Masculino;35 a 44;35;Semanal;1;27,08;10,0;90;60,0;23,8;5;3;5;4;6;Não;74,166667
PQ-2025-0118;14/04/2025;1;Boa Viagem;Tarde;Balcão;Masculino;45 a 59;55;Mensal;5;26,36;16,0;44;65,3;23,9;2;5;5;5;6;Sim;74,166667
PQ-2025-0119;25/02/2025;4;Recife Antigo;Noite;Balcão;Feminino;25 a 34;30;Quinzenal;6;6,00;10,0;50;61,0;23,2;4;4;3;4;6;Sim;65,833333
PQ-2025-0120;27/06/2025;3;Espinheiro;Tarde;App;Masculino;35 a 44;40;Primeira vez;1;20,24;5,0;38;70,0;24,5;3;4;5;4;9;Sim;80,000000
PQ-2025-0121;03/05/2025;3;Espinheiro;Manhã;Balcão;Feminino;35 a 44;40;Quinzenal;2;12,14;5,0;23;70,0;22,1;5;5;5;4;10;Sim;95,833333
PQ-2025-0122;21/02/2025;1;Boa Viagem;Manhã;Balcão;Masculino;25 a 34;30;Quinzenal;4;47,57;4,7;19;61,4;24,9;4;4;4;5;9;Sim;84,166667
PQ-2025-0123;04/02/2025;3;Espinheiro;Manhã;Balcão;Masculino;25 a 34;30;Semanal;1;16,65;5,0;22;69,0;23,1;3;3;4;4;7;Sim;65,000000
PQ-2025-0124;25/01/2025;4;Recife Antigo;Tarde;App;Feminino;18 a 24;24;Semanal;3;14,96;10,0;73;72,0;24,6;2;5;3;3;5;Não;54,166667
PQ-2025-0125;30/03/2025;4;Recife Antigo;Noite;App;Masculino;45 a 59;50;Primeira vez;4;6,51;10,0;47;66,0;23,8;4;5;4;2;8;Sim;72,500000
PQ-2025-0126;30/03/2025;2;Casa Forte;Tarde;App;Masculino;25 a 34;30;Mensal;2;28,94;5,1;44;69,4;22,8;4;2;4;5;6;Sim;65,833333
PQ-2025-0127;05/06/2025;3;Espinheiro;Manhã;Balcão;Masculino;35 a 44;;Primeira vez;4;28,90;5,0;23;69,0;25,3;3;5;5;4;9;Sim;84,166667
PQ-2025-0128;22/04/2025;2;Casa Forte;Noite;Balcão;Feminino;25 a 34;27;Quinzenal;1;16,25;13,4;46;68,6;28,5;4;5;3;3;8;Sim;72,500000
PQ-2025-0129;28/02/2025;1;Boa Viagem;Tarde;Delivery;Feminino;25 a 34;27;Mensal;1;37,59;19,4;61;70,7;22,9;2;5;3;3;5;Não;54,166667
PQ-2025-0130;08/04/2025;2;Casa Forte;Manhã;Balcão;Masculino;45 a 59;55;Semanal;4;27,31;7,1;36;62,3;22,3;4;4;4;4;10;Sim;83,333333
PQ-2025-0131;29/01/2025;1;Boa Viagem;Noite;App;Prefiro não informar;45 a 59;50;Semanal;3;16,25;9,7;22;;21,6;3;4;5;3;7;Sim;69,166667
PQ-2025-0132;25/02/2025;4;Recife Antigo;Manhã;Balcão;Feminino;25 a 34;30;Quinzenal;2;15,11;10,0;52;62,0;23,7;4;4;5;2;10;Sim;79,166667
PQ-2025-0133;09/03/2025;4;Recife Antigo;Tarde;Balcão;Outro;25 a 34;25;Primeira vez;4;27,80;10,0;61;65,0;25,6;4;4;4;3;6;Sim;65,833333
PQ-2025-0134;04/06/2025;1;Boa Viagem;Noite;Balcão;Masculino;25 a 34;30;Quinzenal;2;34,51;3,9;21;63,0;24,6;5;4;4;5;9;Sim;88,333333
PQ-2025-0135;10/06/2025;2;Casa Forte;Manhã;Balcão;Feminino;35 a 44;;Quinzenal;1;25,70;5,3;48;68,3;20,4;5;4;5;4;10;Sim;91,666667
PQ-2025-0136;27/04/2025;2;Casa Forte;Tarde;Balcão;Masculino;45 a 59;50;Mensal;1;24,49;5,7;20;64,0;25,0;5;4;5;2;8;Sim;76,666667
PQ-2025-0137;27/04/2025;3;Espinheiro;Noite;App;Masculino;45 a 59;50;Semanal;2;6,00;10,0;32;74,0;23,3;3;4;4;5;9;Sim;80,000000
PQ-2025-0138;02/05/2025;4;Recife Antigo;Noite;Balcão;Outro;25 a 34;31;Quinzenal;4;18,90;10,0;78;67,0;22,5;4;4;5;4;10;Sim;87,500000
PQ-2025-0139;08/04/2025;3;Espinheiro;Manhã;App;Feminino;35 a 44;;Semanal;1;24,55;5,0;28;58,0;25,6;5;3;4;5;9;Sim;84,166667
PQ-2025-0140;12/04/2025;1;Boa Viagem;Manhã;Delivery;Feminino;25 a 34;30;Primeira vez;2;30,51;11,5;24;68,3;22,3;4;5;4;4;7;Sim;77,500000
PQ-2025-0141;21/06/2025;2;Casa Forte;Manhã;Delivery;Outro;35 a 44;35;Primeira vez;3;17,13;4,6;24;75,2;23,1;5;5;4;3;8;Sim;80,833333
PQ-2025-0142;12/04/2025;1;Boa Viagem;Tarde;Balcão;Feminino;45 a 59;50;Semanal;2;37,18;18,7;36;69,9;23,0;3;5;5;4;8;Sim;80,833333
PQ-2025-0143;14/02/2025;4;Recife Antigo;Tarde;Balcão;Feminino;45 a 59;48;Mensal;2;12,74;5,0;85;67,0;24,0;4;4;4;;8;Sim;76,666667
PQ-2025-0144;16/02/2025;2;Casa Forte;Manhã;Balcão;Feminino;35 a 44;40;Semanal;2;23,97;1,6;38;66,3;25,9;5;5;4;5;9;Sim;92,500000
PQ-2025-0145;10/05/2025;4;Recife Antigo;Tarde;Balcão;Feminino;35 a 44;40;Mensal;4;18,22;15,0;84;69,0;23,1;3;4;3;3;6;Não;57,500000
PQ-2025-0146;19/04/2025;3;Espinheiro;Tarde;Delivery;Feminino;25 a 34;30;Primeira vez;2;15,57;5,0;32;69,0;20,7;4;4;3;4;7;Sim;69,166667
