# fonte: Estacao meteorologica Recife/Curado - exportacao da API
# consultado_em: 2025-07-02T08:20:00
# parametros: inicio=2025-01-01; fim=2025-06-30; estacao=A301
# unidades: temp_max=C; temp_min=C; chuva_mm=mm; umidade_pct=%
# atencao: dias sem leitura nao sao retornados pela API
data;temp_max;temp_min;chuva_mm;umidade_pct
2025-04-24;30,5;25,1;9,1;79
2025-04-25;30,7;24,3;0,0;76
2025-04-26;29,6;22,4;14,1;82
2025-04-27;28,8;22,7;8,6;81
2025-04-28;30,6;23,1;1,2;81
2025-04-29;30,7;24,8;0,0;79
2025-04-30;27,7;22,8;0,0;74
2025-05-01;28,9;22,5;6,1;85
2025-05-02;28,9;23,7;7,5;67
2025-05-03;29,7;25,3;3,5;78
2025-05-04;25,4;18,0;33,5;95
2025-05-05;26,7;21,4;44,2;99
2025-05-06;30,0;23,8;0,0;76
2025-05-07;29,2;23,1;12,2;82
2025-05-08;28,8;22,6;3,3;74
2025-05-09;29,5;23,1;6,4;85
2025-05-10;29,2;23,6;11,5;75
2025-05-11;25,5;18,5;42,4;88
2025-05-12;29,4;24,4;1,2;63
2025-05-13;27,0;21,7;5,3;78
2025-05-14;29,5;22,9;0,0;73
2025-05-15;28,5;20,6;0,0;72
2025-05-16;27,4;20,3;0,0;76
2025-05-17;28,5;21,7;19,2;77
2025-05-18;29,1;24,1;0,0;86
2025-05-19;28,4;21,7;15,4;82
2025-05-20;26,9;18,7;0,0;82
2025-05-21;26,8;19,9;9,6;88
2025-05-22;27,2;21,0;16,3;75
2025-05-23;29,9;25,4;11,7;88
2025-05-24;26,5;20,5;21,5;86
2025-05-25;26,1;20,9;39,3;92
2025-05-26;28,9;23,8;0,0;80
2025-05-27;28,5;22,6;1,6;75
2025-05-28;27,8;23,7;4,2;73
2025-05-29;28,1;22,2;20,8;91
2025-05-30;27,2;23,7;13,9;65
2025-05-31;29,8;23,6;5,4;78
2025-06-01;29,7;22,3;1,6;75
2025-06-02;27,2;19,3;0,0;82
2025-06-04;27,5;22,8;6,4;69
2025-06-05;29,6;23,3;0,0;73
2025-06-06;27,2;20,2;2,3;65
2025-06-07;28,2;21,8;8,4;95
2025-06-08;26,6;20,2;33,4;87
2025-06-09;28,4;22,4;0,0;91
2025-06-10;30,4;24,5;5,6;79
2025-06-11;29,4;22,4;0,0;83
2025-06-12;26,3;19,6;33,9;82
2025-06-13;28,2;20,7;6,2;71
2025-06-14;28,3;22,0;6,1;76
2025-06-15;29,2;23,7;4,8;82
2025-06-16;27,7;22,7;6,0;75
2025-06-17;28,7;23,4;4,3;76
2025-06-18;28,3;22,5;7,9;75
2025-06-19;28,8;22,0;2,4;75
2025-06-20;26,2;21,3;15,5;71
2025-06-21;28,0;23,3;0,0;76
2025-06-22;28,5;22,0;3,6;80
2025-06-23;27,1;20,7;0,0;69
2025-06-24;26,8;21,8;17,5;76
2025-06-25;28,0;20,6;0,0;67
2025-06-26;28,2;22,2;4,2;77
2025-06-27;25,9;20,0;28,2;89
2025-06-28;27,2;19,7;30,1;75
2025-06-29;26,7;20,3;30,8;88
2025-06-30;26,4;20,9;14,3;84
